,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
103,Hualmay,0,PE,1575161124,73,-11.1,-77.61,66.88,3.38
104,Ust-Kuyga,100,RU,1575161124,96,70.0,135.55,-12.84,4.88
105,Baiyin,90,CN,1575160838,92,36.55,104.13,15.8,2.08
106,Reconquista,0,AR,1575161125,86,-29.14,-59.64,74.91,5.75
107,Tual,9,ID,1575161125,66,-5.67,132.75,83.35,5.12
108,Saint-Ambroise,75,CA,1575161125,72,48.56,-71.32,15.01,9.17
109,Chandbali,84,IN,1575161125,72,20.77,86.74,68.59,4.7
110,Bonthe,5,SL,1575160920,83,7.53,-12.5,80.33,6.11
111,Dikson,0,RU,1575161125,88,73.51,80.55,-15.16,5.12
112,Coffs Harbour,98,AU,1575160927,83,-30.3,153.13,78.8,9.17
113,Fomboni,29,KM,1575161125,72,-12.28,43.74,83.25,5.88
114,Castro,90,CL,1575161126,81,-42.48,-73.76,53.6,4.7
115,Jamestown,100,AU,1575161126,77,-33.21,138.6,50.59,15.3
116,Tiksi,65,RU,1575161127,93,71.64,128.87,-26.27,2.53
117,Ryotsu,52,JP,1575161127,76,38.08,138.43,48.2,3.36
118,Hithadhoo,100,MV,1575161127,75,-0.6,73.08,81.57,7.65
119,Bali Chak,48,IN,1575161127,59,22.37,87.55,69.06,4.76
120,Russell,1,US,1575161127,59,38.9,-98.86,35.6,32.21
121,Saint Anthony,90,US,1575161127,85,43.97,-111.68,21.2,6.93
122,Fort Morgan,90,US,1575161127,73,40.25,-103.8,26.6,23.04
123,Leningradskiy,100,RU,1575161127,96,69.38,178.42,15.8,1.28
124,Kahului,20,US,1575161064,51,20.89,-156.47,84.2,20.8
125,Oranjemund,0,ZA,1575161128,90,-28.55,16.43,57.43,10.71
126,Namibe,96,AO,1575161128,85,-15.19,12.15,72.0,8.77
127,Sao Filipe,84,CV,1575161128,72,14.9,-24.5,74.1,11.63
128,Lucapa,98,AO,1575161128,94,-8.42,20.74,67.23,1.68
129,Hermanus,85,ZA,1575161128,83,-34.42,19.24,62.01,15.79
130,Adrar,0,DZ,1575161128,28,27.87,-0.29,55.4,8.05
131,Alofi,100,NU,1575161128,74,-19.06,-169.92,78.8,5.82
132,Salalah,30,OM,1575161128,44,17.01,54.1,75.2,10.29
133,Kaitangata,100,NZ,1575161128,97,-46.28,169.85,55.0,8.01
134,Nyurba,100,RU,1575161128,94,63.29,118.35,-14.62,5.97
135,Frontera,40,MX,1575161128,74,18.53,-92.64,78.8,5.82
136,Provideniya,75,RU,1575161128,85,64.42,-173.23,23.0,4.47
137,Henties Bay,16,NA,1575161128,89,-22.12,14.28,62.01,3.0
138,Grand Gaube,40,MU,1575161129,73,-20.01,57.66,77.0,13.87
139,Saskylakh,1,RU,1575161129,92,71.97,114.09,-33.43,6.33
140,Lompoc,90,US,1575161129,87,34.64,-120.46,52.0,6.93
141,Araceli,96,PH,1575161129,77,10.55,119.99,81.09,20.89
142,Hofn,35,IS,1575161129,56,64.25,-15.21,42.8,8.34
143,Rengo,0,CL,1575160966,15,-34.41,-70.86,77.0,6.93
144,Straumen,90,NO,1575161129,80,63.87,11.3,35.6,26.4
145,Yenagoa,91,NG,1575161129,94,4.92,6.26,76.44,3.49
146,Tuy Hoa,57,VN,1575161129,77,13.08,109.3,77.88,16.89
147,Iqaluit,75,CA,1575161130,62,63.75,-68.52,24.8,13.87
148,Kedrovyy,40,RU,1575161130,67,56.17,91.82,21.2,11.18
149,Los Llanos de Aridane,20,ES,1575161130,77,28.66,-17.92,70.0,11.41
150,Arrifes,75,PT,1575161130,88,37.77,-25.7,66.2,5.82
151,Thompson,75,CA,1575161111,84,55.74,-97.86,-0.4,0.89
152,Vila Velha,75,BR,1575160924,78,-3.71,-38.6,86.0,11.41
153,Beloha,83,MG,1575161130,68,-25.17,45.06,74.17,6.26
154,Vila,90,IT,1575161130,100,45.18,8.4,46.99,6.93
155,Sayyan,37,YE,1575161130,60,15.17,44.32,47.39,7.78
156,Hobyo,84,SO,1575161130,63,5.35,48.53,75.9,13.11
157,Shelburne,1,CA,1575161111,62,44.08,-80.2,27.0,5.82
158,Guerrero Negro,4,MX,1575161131,44,27.97,-114.04,62.28,8.95
159,Amahai,98,ID,1575161131,78,-3.31,129.0,81.64,4.34
160,Pangai,75,TO,1575161131,65,-19.8,-174.35,82.4,10.29
161,Voznesenye,53,RU,1575161131,78,61.02,35.48,27.45,14.99
162,Gimli,38,CA,1575161131,83,50.63,-96.99,27.0,11.7
163,Banda Aceh,82,ID,1575161086,86,5.56,95.32,74.71,2.95
164,Boden,28,SE,1575161131,73,65.83,21.69,21.2,10.29
165,Cabo San Lucas,40,MX,1575161005,73,22.89,-109.91,77.0,9.17
166,Sitka,33,US,1575161131,45,37.17,-99.65,37.99,17.0
167,Cairns,90,AU,1575161037,62,-16.92,145.77,88.0,9.17
168,Maryborough,70,AU,1575161131,47,-25.54,152.7,86.59,9.91
169,San Luis de la Paz,27,MX,1575161131,45,21.3,-100.52,72.0,4.18
170,East London,96,ZA,1575161131,68,-33.02,27.91,68.59,12.21
171,Comodoro Rivadavia,20,AR,1575161055,58,-45.87,-67.48,57.2,6.26
172,Abu Kamal,100,SY,1575161132,58,34.45,40.92,59.2,7.96
173,Meulaboh,89,ID,1575161132,82,4.14,96.13,80.56,6.46
174,Ukiah,90,US,1575161132,75,39.15,-123.21,48.0,14.99
175,Bilibino,100,RU,1575161132,96,68.06,166.44,-3.55,2.95
176,Dicabisagan,99,PH,1575161132,83,17.08,122.42,75.51,11.7
177,Samoylovka,100,RU,1575161132,97,51.19,43.71,35.01,3.0
178,Shiloh,90,US,1575161132,93,38.56,-89.9,57.2,5.82
179,Port Moresby,40,PG,1575161132,70,-9.47,147.16,87.8,11.41
180,Khatanga,100,RU,1575161132,96,71.98,102.47,-21.8,11.32
181,Yerofey Pavlovich,99,RU,1575161132,99,53.97,121.97,-4.05,1.41
182,Surt,0,LY,1575161132,73,31.21,16.59,58.06,2.06
183,Bulgan,72,MN,1575161133,78,48.81,103.53,-6.12,3.83
184,Nicoya,50,CR,1575161136,69,10.15,-85.45,82.4,12.75
185,Havoysund,100,NO,1575161136,89,71.0,24.66,32.0,51.67
186,Vardo,90,US,1575161136,52,39.62,-77.74,42.01,6.93
187,Kharp,100,RU,1575161136,98,66.82,65.8,16.7,1.72
188,Pullman,1,US,1575161119,68,46.73,-117.17,30.2,12.75
189,Klaksvik,87,FO,1575161136,86,62.23,-6.59,39.2,8.05
190,Sarab,52,IR,1575161136,82,38.61,44.99,39.7,2.53
191,New Norfolk,75,AU,1575161136,41,-42.78,147.06,60.8,12.75
192,Dakar,68,SN,1575160889,94,14.69,-17.45,73.4,16.11
193,Beringovskiy,70,RU,1575161136,71,63.05,179.32,22.14,5.3
194,Heze,99,CN,1575161136,73,35.25,115.45,38.95,9.82
195,Cabras,100,CO,1575161136,93,5.5,-75.6,60.01,2.93
196,Hobart,75,AU,1575161137,41,-42.88,147.33,60.8,12.75
197,Faro,20,PT,1575160894,100,37.02,-7.94,59.0,6.93
198,Papetoai,20,PF,1575161137,66,-17.5,-149.87,87.8,13.87
199,Betanzos,40,ES,1575161137,93,43.28,-8.21,53.01,10.29
200,Upernavik,100,GL,1575161137,64,72.79,-56.15,21.74,15.1
201,Xuddur,89,SO,1575161137,57,4.12,43.89,72.48,1.03
202,Baykit,100,RU,1575161137,99,61.68,96.39,-13.83,1.99
203,Neiafu,75,TO,1575161137,83,-18.65,-173.98,78.8,5.82
204,Kommunisticheskiy,66,RU,1575161137,87,61.68,64.48,16.36,10.25
205,Pacific Grove,90,US,1575161137,81,36.62,-121.92,52.0,9.17
206,Sobolevo,7,RU,1575161138,95,54.43,31.9,27.19,6.08
207,Vaasa,67,FI,1575161138,74,63.1,21.62,32.0,13.87
208,Qasigiannguit,4,GL,1575161138,63,68.82,-51.19,12.42,10.47
209,Longyearbyen,100,NO,1575161138,51,78.22,15.63,12.2,27.51
210,Ponta Delgada,75,PT,1575161138,88,37.73,-25.67,66.2,5.82
211,Katsuura,20,JP,1575161138,81,33.93,134.5,55.99,9.17
212,Avarua,100,CK,1575160902,74,-21.21,-159.78,80.6,3.36
213,Mangrol,9,IN,1575161139,74,25.33,76.51,63.57,5.99
214,Nurota,100,UZ,1575161139,36,40.56,65.69,44.6,13.87
215,Luanda,40,AO,1575161015,83,-8.83,13.24,78.8,2.24
216,Katherine,90,AU,1575161139,66,-14.47,132.26,86.0,9.17
217,Pevek,100,RU,1575161139,97,69.7,170.27,1.85,5.37
218,Killybegs,99,IE,1575161139,92,54.63,-8.45,36.0,1.01
219,Csorvas,36,HU,1575161139,100,46.63,20.83,28.99,2.24
220,South River,1,US,1575161139,29,40.45,-74.39,41.0,6.73
221,Lebedinyy,100,RU,1575161140,96,58.52,125.52,-11.69,6.46
222,Ayan,13,IR,1575161140,87,38.23,44.7,30.72,7.54
223,Nanortalik,100,GL,1575161140,70,60.14,-45.24,42.46,50.38
224,Harper,1,US,1575161140,37,30.3,-99.24,73.0,10.07
225,Flers,100,FR,1575161140,80,48.75,-0.57,41.0,10.29
226,Shirokiy,100,RU,1575161140,100,53.87,39.17,34.0,3.0
227,Skagen,0,SE,1575161140,100,58.6,13.44,24.8,2.24
228,Mitsamiouli,40,KM,1575161140,70,-11.38,43.28,83.44,7.2
229,Joensuu,20,FI,1575161140,92,62.6,29.76,19.4,10.29
230,Te Anau,100,NZ,1575161140,97,-45.41,167.72,51.62,7.85
231,Ilulissat,6,GL,1575160937,63,69.22,-51.1,12.31,10.47
232,Shingu,40,JP,1575161141,66,33.72,135.99,55.4,5.82
233,Isangel,72,VU,1575161141,45,-19.55,169.27,86.0,5.82
234,Tanout,68,NE,1575161141,13,14.97,8.88,73.78,9.78
235,Namatanai,25,PG,1575161141,66,-3.66,152.44,84.16,2.82
236,San Cristobal,0,HN,1575161141,73,14.68,-86.92,67.46,4.05
237,Nikolskoye,15,RU,1575161142,92,59.7,30.79,26.01,4.47
238,Lasa,40,CY,1575161142,87,34.92,32.53,60.8,6.93
239,Muros,75,ES,1575161142,100,42.77,-9.06,57.0,6.93
240,Warrenton,30,ZA,1575161142,20,-28.11,24.85,69.71,5.97
241,Kupang,40,ID,1575161142,79,-10.16,123.6,84.2,9.17
242,Weligama,100,LK,1575161142,96,5.97,80.42,72.64,5.01
243,Southbridge,1,US,1575161142,35,42.08,-72.03,30.2,13.87
244,Mkokotoni,48,TZ,1575161143,77,-5.88,39.25,82.0,8.77
245,Guanica,40,PR,1575161143,82,17.97,-66.91,78.01,4.7
246,Havre-Saint-Pierre,1,CA,1575161143,53,50.23,-63.6,21.2,13.87
247,Mayumba,100,GA,1575161143,84,-3.44,10.65,78.62,8.37
248,Houston,1,US,1575160523,88,29.76,-95.37,75.99,5.82
249,Benito Juarez,20,CU,1575161143,83,22.29,-79.63,69.8,6.93
250,Pavino,11,RU,1575161143,78,55.02,82.61,8.6,8.95
251,Hauterive,1,CA,1575161143,57,49.18,-68.27,19.4,16.11
252,Ambon,90,FR,1575161143,100,47.55,-2.56,46.4,9.17
253,Iquique,40,CL,1575160911,64,-20.22,-70.14,68.0,8.05
254,Gayeri,2,BF,1575161143,15,12.65,0.49,75.7,8.43
255,La Ronge,90,CA,1575161144,85,55.1,-105.3,12.2,3.36
256,Havelock,90,US,1575161144,76,34.88,-76.9,51.01,3.36
257,Along,17,IN,1575161144,89,28.17,94.8,50.04,4.36
258,Piedras Negras,5,MX,1575161144,48,28.7,-100.52,84.2,11.16
259,Dori,33,BF,1575161144,13,14.03,-0.03,79.09,8.23
260,Ixtapa,40,MX,1575161050,74,20.71,-105.21,82.4,9.17
261,Nome,90,US,1575161144,88,30.04,-94.42,77.0,11.41
262,Hoyanger,100,NO,1575161145,96,61.22,6.07,35.6,14.99
263,Tucuman,0,PE,1575161145,82,-17.17,-70.89,50.68,0.94
264,Skjervoy,100,NO,1575161145,78,70.03,20.97,33.94,44.36
265,Aksarka,100,RU,1575161145,92,66.56,67.8,13.66,9.69
266,Havre,1,US,1575161145,92,48.55,-109.68,10.99,3.18
267,Geraldton,90,CA,1575161145,92,49.72,-86.95,12.2,11.41
268,Srednekolymsk,98,RU,1575161145,94,67.46,153.71,-19.88,2.73
269,Ostrovnoy,100,RU,1575161145,95,68.05,39.51,18.66,11.23
270,Berezna,13,UA,1575161145,88,51.58,31.79,28.22,9.98
271,Kassala,12,SD,1575161145,69,15.45,36.38,74.1,6.44
272,Puerto Baquerizo Moreno,75,EC,1575161145,83,-0.9,-89.6,75.2,11.41
273,Ola,0,RU,1575161145,78,59.58,151.3,-2.33,13.69
274,Bandarbeyla,100,SO,1575161145,76,9.49,50.81,78.39,29.06
275,Utmanzai,5,PK,1575161145,25,34.19,71.76,48.2,6.93
276,Sao Joao da Barra,100,BR,1575161146,92,-21.64,-41.05,73.9,7.52
277,Port-Gentil,100,GA,1575161146,88,-0.72,8.78,77.34,10.65
278,Bambous Virieux,40,MU,1575161146,73,-20.34,57.76,77.0,13.87
279,Sampit,67,ID,1575161146,89,-2.54,112.95,80.37,0.85
280,Melfort,75,CA,1575161146,84,52.87,-104.61,3.2,3.36
281,Yamada,40,JP,1575161146,47,36.58,137.08,57.2,13.87
282,Kenai,90,US,1575161004,74,60.55,-151.26,37.0,12.75
283,Calabozo,100,VE,1575161146,75,8.92,-67.43,76.96,4.34
284,Esperance,90,AU,1575161146,72,-33.86,121.89,60.8,10.29
285,Kankakee,90,US,1575161146,100,41.12,-87.86,41.0,20.8
286,Banjar,53,ID,1575161148,85,-7.37,108.54,77.43,1.07
287,Clyde River,20,CA,1575161148,85,70.47,-68.59,21.2,21.92
288,Severo-Kurilsk,91,RU,1575161148,84,50.68,156.12,23.79,29.71
289,Powell River,75,CA,1575161148,80,49.84,-124.52,37.4,1.48
290,Karratha,89,AU,1575161116,54,-20.74,116.85,84.34,21.23
291,Broome,8,GB,1575161148,86,52.47,1.45,46.0,1.12
292,Jalu,0,LY,1575161148,54,29.03,21.55,57.51,5.66
293,Owase,0,JP,1575161148,67,34.07,136.2,48.42,1.19
294,Vostok,97,RU,1575161148,92,46.45,135.83,16.72,5.7
295,Alice Springs,0,AU,1575161063,28,-23.7,133.88,71.6,12.75
296,Santiago del Estero,31,AR,1575161149,63,-27.8,-64.26,79.25,10.69
297,Chokurdakh,67,RU,1575161149,100,70.62,147.9,-26.61,2.86
298,Yulara,0,AU,1575160927,30,-25.24,130.99,69.8,9.17
299,Koutsouras,81,GR,1575161149,70,35.03,25.95,62.01,4.0
300,Saint-Augustin,5,CA,1575161149,78,45.63,-73.98,21.0,2.24
301,Norman Wells,75,CA,1575161149,92,65.28,-126.83,19.4,8.05
302,Susurluk,75,TR,1575161149,93,39.91,28.16,55.0,5.82
303,Isoka,88,ZM,1575161149,92,-10.15,32.64,64.47,2.8
304,Nara,20,JP,1575161150,76,34.68,135.8,50.0,5.82
305,Conde,0,BR,1575161003,82,-11.81,-37.61,80.28,16.84
306,Pangkalanbuun,86,ID,1575161150,90,-2.68,111.62,79.21,2.08
307,Husavik,38,CA,1575161150,83,50.56,-96.99,27.0,11.7
308,Kokopo,0,PG,1575161150,73,-4.34,152.27,81.57,3.49
309,North Bend,100,US,1575161150,88,43.41,-124.22,43.0,9.01
310,Valentin Gomez Farias,20,MX,1575161150,35,24.05,-104.7,71.6,10.29
311,İdil,100,TR,1575161150,84,37.34,41.89,49.68,5.97
312,Tabuk,54,PH,1575161150,83,17.41,121.44,71.65,5.95
313,Port Hedland,49,AU,1575161150,13,-20.31,118.58,91.4,23.04
314,Tambacounda,23,SN,1575161150,16,13.77,-13.67,79.83,5.3
315,Ferme-Neuve,0,CA,1575161150,82,46.7,-75.45,14.31,3.53
316,George,80,MW,1575161150,81,-15.35,34.83,73.38,3.22
317,Luderitz,4,NA,1575161150,52,-26.65,15.16,66.2,19.46
318,Kloulklubed,75,PW,1575160956,74,7.04,134.26,84.2,8.05
319,Deputatskiy,100,RU,1575161151,99,69.3,139.9,-14.04,1.72
320,Anloga,17,GH,1575161151,81,5.79,0.9,81.99,9.73
321,Bela Vista de Goias,40,BR,1575161151,83,-16.97,-48.95,73.4,4.7
322,Kathu,0,ZA,1575161151,36,-27.7,23.05,68.0,9.51
323,Hailar,78,CN,1575161151,95,49.2,119.7,1.04,11.41
324,Nyakabindi,71,TZ,1575161151,87,-2.63,33.98,65.61,3.42
325,Chernyshevskiy,100,RU,1575161151,96,63.01,112.47,-15.9,4.47
326,Kavali,100,IN,1575160899,80,14.91,79.99,78.06,9.91
327,Byron Bay,90,AU,1575161102,78,-28.65,153.62,86.0,9.17
328,Isla Vista,90,US,1575161152,100,34.41,-119.86,52.0,19.46
329,Talnakh,10,RU,1575161020,63,69.49,88.39,-9.4,4.47
330,Sikandra Rao,0,IN,1575161152,51,27.69,78.38,60.71,6.29
331,Sao Felix do Xingu,82,BR,1575161152,81,-6.64,-51.99,76.57,0.87
332,Hambantota,100,LK,1575161152,93,6.12,81.12,75.65,13.49
333,Mirabad,0,IR,1575161152,48,28.27,61.33,47.73,3.24
334,Senanga,73,ZM,1575161152,78,-16.1,23.3,71.74,1.25
335,Pisco,0,PE,1575161153,73,-13.71,-76.2,69.8,9.17
336,Banjarmasin,52,ID,1575161153,75,-3.32,114.59,82.83,5.14
337,Chabahar,0,IR,1575161153,62,25.29,60.65,69.03,4.76
338,Kysyl-Syr,100,RU,1575161153,99,63.9,122.77,-6.16,1.74
339,Lahaina,75,US,1575161153,57,20.87,-156.68,84.2,19.46
340,Marsh Harbour,64,BS,1575160965,63,26.54,-77.06,73.26,7.45
341,Iskateley,100,RU,1575161153,93,67.68,53.15,29.55,21.72
342,Viransehir,100,TR,1575161154,66,37.24,39.76,57.38,10.04
343,Salinas,90,US,1575161154,71,36.67,-121.66,52.0,19.46
344,Xinzhi,40,TW,1575161154,78,22.54,120.62,71.6,6.93
345,Gamboma,94,CG,1575161154,90,-1.87,15.88,73.35,2.73
346,Viedma,0,AR,1575161154,53,-40.81,-62.99,52.65,8.7
347,Severo-Yeniseyskiy,100,RU,1575161154,97,60.37,93.04,0.97,4.5
348,Prince George,1,CA,1575161154,78,53.92,-122.75,10.4,2.24
349,Arman,53,RU,1575161154,68,59.7,150.17,10.29,21.85
350,Djambala,100,CG,1575161154,91,-2.55,14.76,69.71,2.06
351,Moose Factory,90,CA,1575161154,79,51.26,-80.61,19.4,5.17
352,Ngunguru,2,NZ,1575161154,66,-35.62,174.5,75.99,3.0
353,Puri,55,ID,1575161154,64,-7.54,112.45,83.08,0.78
354,Laguna,40,BZ,1575161154,88,16.17,-88.94,77.0,4.7
355,Vila Franca do Campo,75,PT,1575161091,88,37.72,-25.43,66.2,5.82
356,Bryan,1,US,1575161155,69,30.67,-96.37,77.0,7.58
357,Lorengau,45,PG,1575161155,63,-2.02,147.27,83.48,2.46
358,Erzincan,75,TR,1575161155,100,39.75,39.49,41.0,2.24
359,La Paz,20,MX,1575161155,60,24.15,-110.32,73.4,11.41
360,Havlickuv Brod,0,CZ,1575161155,92,49.61,15.58,32.0,3.36
361,Coquimbo,42,CL,1575161155,87,-29.95,-71.34,57.2,3.36
362,Chiplun,61,IN,1575161155,66,17.53,73.52,72.12,3.18
363,Lazaro Cardenas,0,MX,1575161155,23,28.39,-105.62,68.16,7.18
364,Parana,15,BR,1575161156,72,-7.52,-72.89,80.24,3.67
365,Vrangel,67,RU,1575161156,61,42.73,133.08,35.4,26.75
366,Luganville,67,VU,1575161156,62,-15.51,167.18,80.74,6.62
367,Moron,13,HT,1575161156,78,18.56,-74.26,77.22,16.51
368,Kalmunai,97,LK,1575161156,83,7.42,81.82,79.23,6.82
369,Hasaki,75,JP,1575161156,70,35.73,140.83,45.0,3.36
370,Nadym,96,RU,1575161156,91,65.53,72.51,14.45,9.53
371,Cap Malheureux,40,MU,1575161156,73,-19.98,57.61,77.0,13.87
372,Kaohsiung,40,TW,1575161143,78,22.62,120.31,71.6,6.93
373,Kralendijk,100,BQ,1575161156,74,12.15,-68.27,80.6,5.82
